id,name,role,existing_archetype,epithet,note_reason
v_rosethorn,Rosalie Thorn,villain,Beautiful club president protecting rank,The Thorned Rank,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
aya,Aya Hanamori,villain,Courteous romantic rival with sharp boundaries,The Courteous Edge,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
cv3_lead_001,Hajime Suda,protag,misrule performer caught in a cooking conflict,The Laughing Banquet,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_002,Nao Suda,protag,culinary challenger caught in a space conflict,Supper Among Stars,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_003,Isamu Kishi,protag,covert operative refusing a disposable mission caught in a comedy conflict,The Vanishing Punchline,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_004,Chiyo Kishi,protag,test-rig pilot caught in a comedy conflict,Laughing Steel,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_005,Renzo Naruse,protag,officer protecting a divided unit caught in a mystery conflict,Witness Under Fire,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_006,Ayame Naruse,protag,neighbour holding a community together caught in a comedy conflict,Small Everyday Wonders,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_007,Toma Teshima,protag,ronin questioning a sworn duty caught in a comedy conflict,The Grinning Ronin,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_008,Eri Teshima,protag,network whistleblower caught in a supernatural conflict,Neon Afterlife,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_009,Naoki Hoshino,protag,performer reclaiming the stage caught in a cooking conflict,The Midnight Menu,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_010,Fumika Hoshino,protag,covert operative refusing a disposable mission caught in a cooking conflict,Feast Without Footprints,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_011,Akio Arata,protag,ronin questioning a sworn duty caught in a cooking conflict,Rice Before Honour,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_012,Hotaru Arata,protag,guarded heart learning reciprocity caught in a cooking conflict,A Table for Two,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_013,Keisuke Mizuno,protag,network whistleblower caught in a fantasy conflict,The Circuitbound Promise,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_014,Izumi Mizuno,protag,outsider rewriting the quest caught in a survival conflict,Shelter Beyond Worlds,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_015,Makoto Sakuma,protag,ronin questioning a sworn duty caught in a cyber conflict,Blade Through Static,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_016,Junko Sakuma,protag,covert operative refusing a disposable mission caught in a cyber conflict,The Untraceable Signal,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_017,Ritsu Ueda,protag,performer reclaiming the stage caught in a supernatural conflict,Song Beyond Death,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_018,Koharu Ueda,protag,neighbour holding a community together caught in a fantasy conflict,The Everyday Enchantment,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_019,Shun Fujise,protag,ronin questioning a sworn duty caught in a fantasy conflict,The Oathless Blade,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_020,Mai Fujise,protag,covert operative refusing a disposable mission caught in a fantasy conflict,The Unseen Spell,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_021,Taichi Natori,protag,covert operative refusing a disposable mission caught in a horror conflict,Footsteps After Midnight,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_022,Natsuki Natori,protag,ronin questioning a sworn duty caught in a horror conflict,Duel with Dread,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_023,Yuto Asano,protag,transformation guardian caught in a supernatural conflict,The Starlit Haunting,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_024,Rena Asano,protag,officer protecting a divided unit caught in a horror conflict,Courage After Dark,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_025,Kazuma Komori,protag,survivor confronting the source caught in a mythology conflict,The Unburied Legend,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_026,Sayuri Komori,protag,neighbour holding a community together caught in a space conflict,Tea Beneath Saturn,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_027,Masato Takase,protag,ronin questioning a sworn duty caught in a idol conflict,The Singing Retainer,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_028,Tomoe Takase,protag,covert operative refusing a disposable mission caught in a idol conflict,Encore in Shadow,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_029,Noboru Sugita,protag,test-rig pilot caught in a samurai conflict,Steel Against Steel,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_030,Wakana Sugita,protag,contender rebuilding a team caught in a isekai conflict,The Impossible Starting Line,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_031,Osamu Matsuba,protag,outsider rewriting the quest caught in a slice conflict,Sunday Beyond Worlds,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_032,Yae Matsuba,protag,orbital rescue pathfinder caught in a supernatural conflict,Ghosts Among Stars,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_033,Haruki Mizuhara,protag,pathfinder refusing to abandon anyone caught in a magical conflict,The Last Bright Wish,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_034,Abena Mensah,protag,transformation guardian caught in a nordic conflict,Aurora Heartfire,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_035,Cian Byrne,protag,ronin questioning a sworn duty caught in a martial conflict,The Open-Handed Duel,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_036,Leela Rao,protag,covert operative refusing a disposable mission caught in a martial conflict,The Hidden Fist,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_037,Minjun Seo,protag,test-rig pilot caught in a shinobi conflict,Ghost in Armour,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_038,Adaeze Okoye,protag,test-rig pilot caught in a pirate conflict,The Iron Corsair,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_039,Elias Lind,protag,northern community defender caught in a military conflict,The Northward Banner,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_040,Lucia Vega,protag,covert operative refusing a disposable mission caught in a military conflict,The Unseen Vanguard,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_041,Jian Zhou,protag,ronin questioning a sworn duty caught in a military conflict,The Reluctant Standard,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_042,Simone Campbell,protag,pathfinder refusing to abandon anyone caught in a mystery conflict,The Last Witness,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_043,Nadim Haddad,protag,northern community defender caught in a pirate conflict,The Frostwake Captain,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_044,Zofia Nowak,protag,covert operative refusing a disposable mission caught in a nordic conflict,Footprints Under Snow,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_045,Aamir Malik,protag,ronin questioning a sworn duty caught in a shinobi conflict,Two Oaths Divided,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_046,Amihan Reyes,protag,ronin questioning a sworn duty caught in a sports conflict,The Swiftest Blade,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_047,Kamau Mwangi,protag,ronin questioning a sworn duty caught in a shinobi conflict,The Unclaimed Clan,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_048,Aminata Diop,protag,test-rig pilot caught in a samurai conflict,The Unbending Edge,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_049,Kwame Owusu,protag,ronin questioning a sworn duty caught in a romance conflict,The Heartbound Duel,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_050,Orla Doyle,protag,covert operative refusing a disposable mission caught in a cooking conflict,The Unseen Supper,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_051,Arjun Iyer,protag,ronin questioning a sworn duty caught in a nordic conflict,Ronin of Winter,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_lead_052,Sumin Han,protag,covert operative refusing a disposable mission caught in a idol conflict,The Stolen Spotlight,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_001,Emeka Obi,secondary,comic foil caught in a cooking conflict,The Second Helping,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_002,Linnea Berg,secondary,streetwise systems fixer caught in a isekai conflict,Guide Through Static,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_003,Mateo Torres,secondary,field logistics partner caught in a comedy conflict,The Barracks Grin,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_004,Lian Lin,secondary,comic foil caught in a nordic conflict,The Laughing Longship,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_005,Andre Morgan,secondary,infiltration scout with a contingency caught in a comedy conflict,The Decoy's Wink,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_006,Rania Nasser,secondary,retainer choosing whom to protect caught in a comedy conflict,The Retainer's Jest,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_007,Lukasz Kowalski,secondary,resourceful kitchen confidant caught in a horror conflict,The Candlelit Kitchen,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_008,Sana Khan,secondary,infiltration scout with a contingency caught in a cooking conflict,The Quiet Provision,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_009,Paolo Santos,secondary,confidant choosing their own future caught in a cooking conflict,The Shared Recipe,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_010,Wanjiku Njoroge,secondary,resourceful kitchen confidant caught in a martial conflict,The Iron Ladle,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_011,Malik Sarr,secondary,observant evidence partner caught in a survival conflict,Clues Through Winter,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_012,Misaki Fujimori,secondary,retainer choosing whom to protect caught in a cooking conflict,The Ronin's Rice,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_013,Cian E. Byrne,secondary,streetwise systems fixer caught in a fantasy conflict,The Spellwired Compass,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_014,Leela E. Rao,secondary,sceptical night companion caught in a mythology conflict,The Old God's Witness,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_015,Minjun E. Seo,secondary,infiltration scout with a contingency caught in a cyber conflict,The Masked Relay,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_016,Adaeze E. Okoye,secondary,streetwise systems fixer caught in a nordic conflict,The Northern Circuit,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_017,Elias E. Lind,secondary,deckhand with an independent plan caught in a space conflict,Navigator Beyond Neptune,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_018,Lucia E. Vega,secondary,retainer choosing whom to protect caught in a cyber conflict,The Wired Scabbard,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_019,Jian E. Zhou,secondary,streetwise systems fixer caught in a supernatural conflict,The Haunted Terminal,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_020,Simone E. Campbell,secondary,sceptical night companion caught in a magical conflict,The Ward Against Dread,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_021,Nadim E. Haddad,secondary,retainer choosing whom to protect caught in a fantasy conflict,The Enchanted Scabbard,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_022,Zofia E. Nowak,secondary,infiltration scout with a contingency caught in a fantasy conflict,The Unseen Ward,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_023,Aamir E. Malik,secondary,keeper of conflicting oral histories caught in a space conflict,Atlas of Fallen Gods,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_024,Amihan E. Reyes,secondary,station technician who stays behind caught in a horror conflict,The Deep-Space Watch,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_025,Kamau E. Mwangi,secondary,infiltration scout with a contingency caught in a horror conflict,The Midnight Decoy,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_026,Aminata E. Diop,secondary,resourceful coastal companion caught in a pirate conflict,The Icebound First Mate,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_027,Haruki E. Mizuhara,secondary,retainer choosing whom to protect caught in a horror conflict,The Lantern Retainer,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_028,Abena E. Mensah,secondary,backstage harmony partner caught in a isekai conflict,The Otherworldly Chorus,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_029,Arjun F. Iyer,secondary,rescue-rig engineer caught in a samurai conflict,The Armourer's Promise,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_030,Sumin F. Han,secondary,station technician who stays behind caught in a idol conflict,The Satellite Harmony,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_031,Emeka F. Obi,secondary,infiltration scout with a contingency caught in a isekai conflict,Guide Behind the Mask,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_032,Linnea F. Berg,secondary,retainer choosing whom to protect caught in a isekai conflict,The Otherworld Retainer,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_033,Mateo F. Torres,secondary,resourceful route scout caught in a isekai conflict,The Stranger's Shelter,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_034,Lian F. Lin,secondary,local guide to an unfamiliar world caught in a nordic conflict,The Farshore Guide,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_035,Andre F. Morgan,secondary,patient sparring partner caught in a supernatural conflict,The Spirit Sparring Partner,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_036,Rania F. Nasser,secondary,reliable friend with an unfinished dream caught in a magical conflict,The Everyday Miracle,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_037,Lukasz F. Kowalski,secondary,retainer choosing whom to protect caught in a magical conflict,The Wishing Scabbard,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_038,Sana F. Khan,secondary,rescue-rig engineer caught in a martial conflict,The Iron Sparring Partner,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_039,Paolo F. Santos,secondary,rescue-rig engineer caught in a pirate conflict,The Corsair's Mechanic,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_040,Wanjiku F. Njoroge,secondary,rescue-rig engineer caught in a shinobi conflict,The Covert Mechanic,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_041,Malik F. Sarr,secondary,station technician who stays behind caught in a supernatural conflict,The Ghost Navigator,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_042,Misaki F. Fujimori,secondary,retainer choosing whom to protect caught in a mystery conflict,Clues in the Scabbard,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_043,Kwame F. Owusu,secondary,infiltration scout with a contingency caught in a mythology conflict,The Mythbound Messenger,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_044,Orla F. Doyle,secondary,retainer choosing whom to protect caught in a mythology conflict,The Shrine's Retainer,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_045,Minjun G. Seo,secondary,boundary guide for the living caught in a mythology conflict,The Ancestral Witness,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_046,Adaeze G. Okoye,secondary,retainer choosing whom to protect caught in a shinobi conflict,The Divided Messenger,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_047,Elias G. Lind,secondary,infiltration scout with a contingency caught in a slice conflict,The Neighbour's Secret,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_048,Lucia G. Vega,secondary,infiltration scout with a contingency caught in a space conflict,The Orbital Infiltrator,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_049,Jian G. Zhou,secondary,retainer choosing whom to protect caught in a shinobi conflict,The Oath's Blind Spot,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_050,Simone G. Campbell,secondary,rescue-rig engineer caught in a samurai conflict,The Duelist's Circuit,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_051,Nadim G. Haddad,secondary,retainer choosing whom to protect caught in a romance conflict,The Heart's Retainer,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_sidekick_052,Zofia G. Nowak,secondary,infiltration scout with a contingency caught in a cooking conflict,The Last Quiet Serving,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_001,Bramble,pet,red panda companion connecting comedy and cyber,The Glitching Grin,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_002,Pipkin,pet,fennec fox companion connecting shinobi and comedy,The Vanishing Giggle,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_003,Saffy,pet,round bat companion connecting isekai and comedy,The Otherworld Rascal,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_004,Tumble,pet,tanuki companion connecting samurai and comedy,The Ronin's Raccoon,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_005,Fennel,pet,dormouse companion connecting magical and romance,The Pocket Love Spell,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_006,Quibble,pet,meerkat companion connecting survival and comedy,The Scrappy Smile,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_007,Clove,pet,ferret companion connecting cooking and horror,The Haunted Ladle,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_008,Miso,pet,shiba puppy companion connecting samurai and shinobi,Whiskers Between Clans,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_009,Pebble,pet,hedgehog companion connecting survival and cooking,The Foraging Flame,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_010,Patch,pet,gecko companion connecting cyber and fantasy,The Enchanted Gecko,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_011,Rook,pet,crow companion connecting samurai and cyber,The Wired Wing,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_012,Ticker,pet,stoat companion connecting survival and cyber,The Salvage Whisker,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_013,Mallow,pet,house sparrow companion connecting shinobi and cyber,The Silent Quill,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_014,Sprig,pet,moss hare companion connecting mythology and slice,The Hearthside Myth,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_015,Flotsam,pet,sea otter companion connecting supernatural and fantasy,The Pocket Poltergeist,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_016,Kuzu,pet,fox cub companion connecting samurai and fantasy,The Foxbound Fable,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_017,Cinder,pet,robotic beetle companion connecting mecha and horror,The Iron Nightlight,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_018,Brisk,pet,terrier companion connecting pirate and horror,The Deckside Dread,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_019,Whisker,pet,barn owl companion connecting shinobi and horror,The Midnight Feather,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_020,Skipper,pet,raccoon companion connecting pirate and sports,The Fleetfoot Stowaway,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_021,Trill,pet,cockatiel companion connecting pirate and idol,The Shanty Whistle,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_022,Tempo,pet,robotic rabbit companion connecting mecha and idol,The Chrome Chorus,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_023,Finch,pet,goldfinch companion connecting mythology and slice,The Everyday Oracle,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_024,Lilt,pet,arctic fox companion connecting romance and idol,The Serenading Purr,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_025,Dapple,pet,calico kitten companion connecting samurai and idol,The Retainer's Ribbon,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_026,Comet,pet,sugar glider companion connecting shinobi and idol,The Backstage Glider,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_027,Glimmer,pet,robotic moth companion connecting mecha and isekai,The Otherworld Circuit,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_028,Acorn,pet,chipmunk companion connecting isekai and military,The Stranger's Standard,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_029,Button,pet,guinea pig companion connecting mystery and slice,The Teatime Detective,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_030,Flicker,pet,hare companion connecting shinobi and isekai,The Threshold Hopper,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_031,Quasar,pet,puffin companion connecting isekai and space,The Starward Waddle,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_032,Ribbon,pet,ribbon-tailed squirrel companion connecting martial and sports,The Tiny Contender,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_033,Wisp,pet,little owl companion connecting samurai and magical,The Wishing Wing,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_034,Juniper,pet,ermine companion connecting shinobi and magical,The Secret Spark,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_035,Flint,pet,mongoose companion connecting shinobi and martial,The Silent Sparring Paw,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_036,Orbit,pet,jerboa companion connecting space and martial,The Zero-Gravity Hop,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_037,Reed,pet,field mouse companion connecting samurai and martial,The Dojo Mouse,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_038,Rivet,pet,robotic seal companion connecting mecha and military,The Steel Scout,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_039,Peony,pet,robotic dove companion connecting mecha and samurai,The Armoured Feather,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_040,Gauge,pet,robotic pangolin companion connecting mecha and shinobi,The Covert Coil,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_041,Cairn,pet,snow bunting companion connecting mystery and nordic,The Snowbound Clue,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_042,Fable,pet,tortoise companion connecting samurai and military,The Clan's Shell,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_043,Aureole,pet,flying fish companion connecting mythology and romance,The Heart's Myth,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_044,Thistle,pet,ibex kid companion connecting samurai and mythology,The Horned Retainer,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_045,Shimmer,pet,nightjar companion connecting shinobi and mythology,The Legendary Nightwatch,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_046,Skerry,pet,harbour seal companion connecting samurai and nordic,The Frostbound Flipper,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_047,Hearth,pet,woolly lamb companion connecting slice and supernatural,The Hearthside Haunting,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_048,Coral,pet,kingfisher companion connecting shinobi and pirate,The Covert Kingfisher,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_049,Nettle,pet,badger cub companion connecting samurai and shinobi,The Clanless Paw,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_050,Sable,pet,robotic sand cat companion connecting mecha and samurai,The Chrome Familiar,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_051,Puddle,pet,duckling companion connecting samurai and romance,The Plum-Blossom Promise,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_mascot_052,Solstice,pet,marten companion connecting shinobi and cooking,The Quiet Kitchen Paw,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_villain_001,Arjun J. Iyer,villain,clan magistrate enforcing an unjust oath caught in a comedy conflict,The Mocking Magistrate,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_villain_002,Sumin J. Han,villain,guardian who hoards transformation power caught in a slice conflict,The Domestic Hex,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
cv3_villain_003,Emeka J. Obi,villain,spymaster turning every alliance into leverage caught in a comedy conflict,The Laughing Decoy,Combines visible-affinity imagery into a distinct player-facing epithet; hidden affinity excluded.
