old_id,old_display_name,new_display_name,old_role,new_role,new_anime_type,new_visible_affinity_1,new_visible_affinity_2,new_hidden_affinity,id_preserved,notes
v_harlequin,Harlequin,Harlequin Bell,villain,villain,SHOJO,comedy,idol,survival,yes,Display-name change; do not rename save keys or historical billing.
v_onikage,Onikage,Ren Onikage,villain,villain,SHONEN,martial,supernatural,mystery,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
v_hollowchild,The Pale Empress,The Pale Empress,villain,villain,SHOJO,space,fantasy,comedy,yes,"Gender ledger: female; use the specified natural species/body presentation, not human gender stereotypes. The cell is not an Anime Type restriction."
v_bioform,Bioform IX,Bioform IX,villain,villain,SHONEN,mecha,sports,idol,yes,"Gender ledger: female; use the specified natural species/body presentation, not human gender stereotypes. The cell is not an Anime Type restriction."
n_aoi,Aoi,Aoi Narang,protag,protag,SHOJO,isekai,fantasy,mythology,yes,Display-name change; do not rename save keys or historical billing.
n_saku,Saku,Saku Diallo,protag,protag,SHOJO,isekai,martial,idol,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
n_ryoko,Ryoko,Astrid Voss,protag,protag,SHONEN,mecha,space,martial,yes,Display-name change; do not rename save keys or historical billing.
n_chisato,Chisato,Chisato Kimura,protag,protag,SHOJO,sports,romance,space,yes,Display-name change; do not rename save keys or historical billing.
n_reiwa,Reiwa,Reiwa Bell,protag,protag,SHOJO,idol,mystery,magical,yes,Display-name change; do not rename save keys or historical billing.
n_mikoto,Mikoto,Mikoto Arata,protag,protag,SHONEN,magical,isekai,cooking,yes,Display-name change; do not rename save keys or historical billing.
s_soleil,Soleil,Soleil Armand,secondary,secondary,SHOJO,isekai,sports,fantasy,yes,Display-name change; do not rename save keys or historical billing.
s_ice,Ice,Isaak 'Ice' Novak,secondary,secondary,SHOJO,romance,idol,survival,yes,Display-name change; do not rename save keys or historical billing.
s_bolt,Bolt,Bola 'Bolt' Adeyemi,secondary,secondary,SHONEN,sports,comedy,horror,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
s_ironmaid,Valkyrie,Vera 'Valkyrie' Nygaard,secondary,secondary,SHONEN,military,nordic,mecha,yes,Display-name change; do not rename save keys or historical billing.
p_loader,Loader,Loader,pet,pet,SHONEN,military,survival,slice,yes,"Gender ledger: male; use the specified natural species/body presentation, not human gender stereotypes. The cell is not an Anime Type restriction."
p_nitro,Nitro,Nitro,pet,pet,SHONEN,sports,comedy,mythology,yes,"Gender ledger: female; use the specified natural species/body presentation, not human gender stereotypes. The cell is not an Anime Type restriction."
p_stellar,Stellar,Stellar,pet,pet,SHOJO,space,magical,horror,yes,"Gender ledger: female; use the specified natural species/body presentation, not human gender stereotypes. The cell is not an Anime Type restriction."
v_rosethorn,Rosethorn,Rosalie Thorn,villain,villain,SHOJO,romance,survival,idol,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
v_overlord,Overlord Zero,Osric Vale,villain,villain,SHOJO,isekai,fantasy,mecha,yes,Display-name change; do not rename save keys or historical billing.
v_grandfinale,Grand Finale,Gabriel 'Grand Finale' Moreau,villain,villain,SHONEN,cooking,comedy,mecha,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
v_falsetto,Falsetto,Seo Min-jae 'Falsetto',villain,villain,SHOJO,idol,martial,romance,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
v_lovelace,Lovelace,Julian Lovelace,villain,villain,SHOJO,romance,comedy,space,yes,Display-name change; do not rename save keys or historical billing.
