id,name,archetype,epithet,img,personality,role,type,visibleAff1,visibleAff2,hiddenAff,gender,species,ageBand,culturalBasis
v4_sidekick_shonen_014,Busisiwe Petersen,Quiet-Day Casefile Aide,Quiet Day Casefile,cast/v4/v4_sidekick_shonen_014.webp,"Busisiwe always returns to unfinished work before starting something flashy; alongside that, Busisiwe does not confuse secrecy with depth.",secondary,shonen,slice,mystery,mythology,female,human,17–19,Southern African slice of life / mystery character design
v4_sidekick_shonen_015,Renjiro Hoshino,Everyday Stardust Keeper,Everyday Stardust,cast/v4/v4_sidekick_shonen_015.webp,Renjiro makes space for small comforts when tension rises; friends also know Renjiro keeps one tiny repair kit close at hand.,secondary,shonen,slice,magical,pirate,nonbinary,human,17–19,Japanese slice of life / magical character design
v4_sidekick_shonen_016,Kossi Sow,After-Dark Keepsake Fixer,After Dark Keepsake,cast/v4/v4_sidekick_shonen_016.webp,"Kossi remembers who stayed behind to help clean up. In a crisis, Kossi takes affection seriously without making it solemn.",secondary,shonen,horror,romance,survival,male,human,20–29,West African horror / romance character design
v4_sidekick_shonen_017,Kalila Navarro,Midnight Backstage Confidant,Midnight Backstage,cast/v4/v4_sidekick_shonen_017.webp,"Kalila checks on the quietest person before checking the exit, while outside the big moments Kalila would rather admit uncertainty than fake confidence.",secondary,shonen,horror,idol,samurai,female,human,17–19,Filipino horror / idol character design
v4_sidekick_shonen_018,Karim Haddad,Rosebound Spirit Understudy,Rosebound Spirit,cast/v4/v4_sidekick_shonen_018.webp,"Karim leaves notes instead of dramatic speeches; when it matters, Karim stays gentle with things everyone else finds unsettling.",secondary,shonen,romance,supernatural,space,male,human,17–19,Arab romance / supernatural character design
v4_sidekick_shonen_019,Celeste Roux,Keepsake Deckside Guide,Keepsake Deckside,cast/v4/v4_sidekick_shonen_019.webp,"Celeste hears what people mean when they cannot quite say it. Away from the pressure, Celeste keeps one small kindness in reserve.",secondary,shonen,romance,pirate,samurai,female,human,17–19,French romance / pirate character design
v4_sidekick_shonen_020,Avery Campbell,Faelight Stewpot Aide,Faelight Stewpot,cast/v4/v4_sidekick_shonen_020.webp,"Avery keeps a tiny notebook of useful mistakes; under pressure, Avery treats a shared meal as a small agreement.",secondary,shonen,fantasy,cooking,nordic,nonbinary,human,20–29,Black British fantasy / cooking character design
v4_sidekick_shonen_021,Kaan Tas,Chorus Station Keeper,Chorus Station,cast/v4/v4_sidekick_shonen_021.webp,"Kaan turns nerves into rhythm once the spotlight lands, but Kaan also always notices who has gone quiet.",secondary,shonen,idol,space,nordic,male,human,17–19,Turkish idol / space character design
v4_sidekick_shonen_022,Runa Mercer,Cipher Comic Fixer,Cipher Comic,cast/v4/v4_sidekick_shonen_022.webp,"Runa saves the best snack for whoever worked latest; alongside that, Runa uses mischief to open doors rather than close them.",secondary,shonen,mystery,comedy,space,female,human,17–19,mixed diaspora mystery / comedy character design
v4_sidekick_shonen_023,Minh Tran,Kitchen Banner Confidant,Kitchen Banner,cast/v4/v4_sidekick_shonen_023.webp,Minh treats a shared meal as a small agreement; friends also know Minh writes reminders on the backs of receipts.,secondary,shonen,cooking,military,space,male,human,17–19,Vietnamese cooking / military character design
v4_sidekick_shonen_024,Callia Pappas,Command-Post Otherworld Understudy,Command Post Otherworld,cast/v4/v4_sidekick_shonen_024.webp,"Callia takes the long route when someone needs company. In a crisis, Callia stays gentle with things everyone else finds unsettling.",secondary,shonen,military,supernatural,martial,female,human,20–29,Greek military / supernatural character design
v4_sidekick_shonen_025,Rayan Khalil,Moon-Echo Stardust Guide,Moon Echo Stardust,cast/v4/v4_sidekick_shonen_025.webp,"Rayan accepts the uncanny without losing interest in the person inside it, while outside the big moments Rayan keeps one lucky coin and refuses to explain it.",secondary,shonen,supernatural,magical,mythology,nonbinary,human,17–19,Arab supernatural / magical character design
v4_sidekick_shonen_026,Faris Haddad,Deep-Sky Sparkle Aide,Deep Sky Sparkle,cast/v4/v4_sidekick_shonen_026.webp,"Faris returns borrowed things cleaner than they arrived; when it matters, Faris believes a little spectacle is worthwhile when it gives people courage.",secondary,shonen,space,magical,shinobi,male,human,17–19,Arab space / magical character design
v4_sidekick_shonen_027,Mali Wongsa,Orbital Emberpack Keeper,Orbital Emberpack,cast/v4/v4_sidekick_shonen_027.webp,"Mali treats distance as something to cross rather than admire. Away from the pressure, Mali gets quieter as the stakes get higher.",secondary,shonen,space,survival,samurai,female,human,17–19,Thai space / survival character design
v4_sidekick_shonen_028,Arjun Rao,Legend Oath Fixer,Legend Oath,cast/v4/v4_sidekick_shonen_028.webp,"Arjun keeps a spare pen for people who never do; under pressure, Arjun believes restraint is part of courage.",secondary,shonen,mythology,samurai,shinobi,male,human,20–29,Indian mythology / samurai character design
v4_sidekick_shonen_029,Xinyi Fang,Keepsake Questroad Confidant,Keepsake Questroad,cast/v4/v4_sidekick_shonen_029.webp,"Xinyi takes affection seriously without making it solemn, but Xinyi also remembers tiny kindnesses for years.",secondary,shonen,romance,fantasy,sports,female,human,17–19,Chinese diaspora romance / fantasy character design
v4_sidekick_shonen_030,Kai Mazur,Touchline Clue Understudy,Touchline Clue,cast/v4/v4_sidekick_shonen_030.webp,"Kai carries one completely impractical good-luck charm; alongside that, Kai does not confuse secrecy with depth.",secondary,shonen,sports,mystery,cyber,nonbinary,human,17–19,Polish sports / mystery character design
v4_sidekick_shonen_031,Sipho Mokoena,Casefile Stance Guide,Casefile Stance,cast/v4/v4_sidekick_shonen_031.webp,Sipho keeps loose details until they connect; friends also know Sipho leaves one light on for anyone coming home late.,secondary,shonen,mystery,martial,nordic,male,human,17–19,Southern African mystery / martial arts character design
v4_sidekick_shonen_032,Kalila Soriano,Neon Moonbow Aide,Neon Moonbow,cast/v4/v4_sidekick_shonen_032.webp,"Kalila packs for emergencies and forgets ordinary things. In a crisis, Kalila believes a little spectacle is worthwhile when it gives people courage.",secondary,shonen,cyber,magical,idol,female,human,20–29,Filipino cyber / magical character design
v4_sidekick_shonen_033,Abdi Hassan,Field-Order Tide Keeper,Field Order Tide,cast/v4/v4_sidekick_shonen_033.webp,"Abdi expects structure to serve the team rather than the reverse, while outside the big moments Abdi keeps one seat empty until everyone arrives.",secondary,shonen,military,pirate,survival,male,human,17–19,East African military / pirate character design
v4_sidekick_shonen_034,Dewi Pratama,Keepsake Old-God Fixer,Keepsake Old God,cast/v4/v4_sidekick_shonen_034.webp,"Dewi makes tea before delivering bad news; when it matters, Dewi asks what an old story was trying to protect.",secondary,shonen,romance,mythology,cooking,female,human,17–19,Indonesian romance / mythology character design
v4_sidekick_shonen_035,Rumi Malik,Everyday Haunted Confidant,Everyday Haunted,cast/v4/v4_sidekick_shonen_035.webp,"Rumi remembers the little jobs nobody puts on a schedule. Away from the pressure, Rumi always checks whether the quietest person agrees.",secondary,shonen,slice,horror,survival,nonbinary,human,17–19,Pakistani slice of life / horror character design
v4_sidekick_shojo_001,Naledi Nkosi,Servo Stranger-Road Partner,Servo Stranger Road,cast/v4/v4_sidekick_shojo_001.webp,"Naledi keeps one old map even after learning the route; under pressure, Naledi asks practical questions when the world stops making sense.",secondary,shojo,mecha,isekai,space,female,human,17–19,Southern African mecha / isekai character design
v4_sidekick_shojo_002,Faris Najjar,Prototype Datastream Broker,Prototype Datastream,cast/v4/v4_sidekick_shojo_002.webp,"Faris trusts machines only after testing them under pressure, but Faris also writes down compliments because saying them is harder.",secondary,shojo,mecha,cyber,supernatural,male,human,17–19,Arab mecha / cyber character design
v4_sidekick_shojo_003,Shuya Wu,Machine-Bay Spellwood Second,Machine Bay Spellwood,cast/v4/v4_sidekick_shojo_003.webp,"Shuya always returns to unfinished work before starting something flashy; alongside that, Shuya meets wonder with curiosity instead of obedience.",secondary,shojo,mecha,fantasy,comedy,female,human,17–19,Chinese diaspora mecha / fantasy character design
v4_sidekick_shojo_004,Chike Mensah,Hangar Last-Light Counterweight,Hangar Last Light,cast/v4/v4_sidekick_shojo_004.webp,Chike hears a bad bearing before anyone sees the fault; friends also know Chike keeps one tiny repair kit close at hand.,secondary,shojo,mecha,survival,nordic,male,human,20–29,West African mecha / survival character design
v4_sidekick_shojo_005,Rinako Fujimoto,Portal Haunted Spotter,Portal Haunted,cast/v4/v4_sidekick_shojo_005.webp,"Rinako remembers who stayed behind to help clean up. In a crisis, Rinako stays steady when a room starts feeling wrong.",secondary,shojo,isekai,horror,mystery,female,human,17–19,Japanese isekai / horror character design
v4_sidekick_shojo_006,Deniz Aydin,Crossing Network Handler,Crossing Network,cast/v4/v4_sidekick_shojo_006.webp,"Deniz asks practical questions when the world stops making sense, while outside the big moments Deniz would rather admit uncertainty than fake confidence.",secondary,shojo,isekai,cyber,pirate,nonbinary,human,17–19,Turkish isekai / cyber character design
v4_sidekick_shojo_007,Sabine Bernard,Wayfarer Comic Partner,Wayfarer Comic,cast/v4/v4_sidekick_shojo_007.webp,"Sabine leaves notes instead of dramatic speeches; when it matters, Sabine cuts tension with timing that never targets the vulnerable.",secondary,shojo,isekai,comedy,cooking,female,human,17–19,French isekai / comedy character design
v4_sidekick_shojo_008,Isao Okuno,Corner-Shop Relay Broker,Corner Shop Relay,cast/v4/v4_sidekick_shojo_008.webp,"Isao makes space for small comforts when tension rises. Away from the pressure, Isao keeps one small kindness in reserve.",secondary,shojo,slice,sports,cooking,male,human,20–29,Japanese slice of life / sports character design
v4_sidekick_shojo_009,Catriona Kerr,Quiet-Day Glitchline Second,Quiet Day Glitchline,cast/v4/v4_sidekick_shojo_009.webp,"Catriona keeps a tiny notebook of useful mistakes; under pressure, Catriona thinks in contingencies whenever a system starts drifting.",secondary,shojo,slice,cyber,comedy,female,human,17–19,Scottish slice of life / cyber character design
v4_sidekick_shojo_010,Kauri Te Aho,Everyday Starwake Counterweight,Everyday Starwake,cast/v4/v4_sidekick_shojo_010.webp,"Kauri remembers the little jobs nobody puts on a schedule, but Kauri also always notices who has gone quiet.",secondary,shojo,slice,space,martial,male,human,17–19,Maori/Pasifika slice of life / space character design
v4_sidekick_shojo_011,Naz Arslan,After-Dark Training-Ground Spotter,After Dark Training Ground,cast/v4/v4_sidekick_shojo_011.webp,"Naz saves the best snack for whoever worked latest; alongside that, Naz measures trust by effort rather than speeches.",secondary,shojo,horror,sports,nordic,female,human,17–19,Turkish horror / sports character design
v4_sidekick_shojo_012,Jules Bailey,Midnight Sigil Handler,Midnight Sigil,cast/v4/v4_sidekick_shojo_012.webp,Jules stays steady when a room starts feeling wrong; friends also know Jules writes reminders on the backs of receipts.,secondary,shojo,horror,fantasy,magical,nonbinary,human,20–29,Black British horror / fantasy character design
v4_sidekick_shojo_013,Ximena Reyes,Grave-Light Deadpan Partner,Grave Light Deadpan,cast/v4/v4_sidekick_shojo_013.webp,"Ximena takes the long route when someone needs company. In a crisis, Ximena cuts tension with timing that never targets the vulnerable.",secondary,shojo,horror,comedy,supernatural,female,human,17–19,Mexican horror / comedy character design
v4_sidekick_shojo_014,Cian Hale,Dreadhouse Tasting-Room Broker,Dreadhouse Tasting Room,cast/v4/v4_sidekick_shojo_014.webp,"Cian does not let fear turn other people into punchlines, while outside the big moments Cian keeps one lucky coin and refuses to explain it.",secondary,shojo,horror,cooking,pirate,male,human,17–19,mixed diaspora horror / cooking character design
v4_sidekick_shojo_015,Mina Farhadi,Haunted Iron-Hand Second,Haunted Iron Hand,cast/v4/v4_sidekick_shojo_015.webp,"Mina returns borrowed things cleaner than they arrived; when it matters, Mina listens with the patience of a trained stance.",secondary,shojo,horror,martial,mythology,female,human,17–19,Persian horror / martial arts character design
v4_sidekick_shojo_016,Noel Owusu,Confession Network Counterweight,Confession Network,cast/v4/v4_sidekick_shojo_016.webp,"Noel takes affection seriously without making it solemn. Away from the pressure, Noel gets quieter as the stakes get higher.",secondary,shojo,romance,cyber,nordic,male,human,20–29,Black British romance / cyber character design
v4_sidekick_shojo_017,Tove Dahl,Heartline Kitchen Spotter,Heartline Kitchen,cast/v4/v4_sidekick_shojo_017.webp,"Tove keeps a spare pen for people who never do; under pressure, Tove reads mood the way other people read seasoning.",secondary,shojo,romance,cooking,magical,female,human,17–19,Scandinavian romance / cooking character design
v4_sidekick_shojo_018,Jai Sen,Fastbreak Neon Handler,Fastbreak Neon,cast/v4/v4_sidekick_shojo_018.webp,"Jai measures trust by effort rather than speeches, but Jai also remembers tiny kindnesses for years.",secondary,shojo,sports,cyber,military,nonbinary,human,17–19,Indian sports / cyber character design
v4_sidekick_shojo_019,Camila Navarro,Training-Ground Mischief Partner,Training Ground Mischief,cast/v4/v4_sidekick_shojo_019.webp,"Camila carries one completely impractical good-luck charm; alongside that, Camila cuts tension with timing that never targets the vulnerable.",secondary,shojo,sports,comedy,samurai,female,human,17–19,Mexican sports / comedy character design
v4_sidekick_shojo_020,Leon Drakos,Touchline Starwake Broker,Touchline Starwake,cast/v4/v4_sidekick_shojo_020.webp,Leon would rather restart honestly than accept a hollow win; friends also know Leon leaves one light on for anyone coming home late.,secondary,shojo,sports,space,pirate,male,human,20–29,Greek sports / space character design
v4_sidekick_shojo_021,Maja Lis,Podium Shelter Second,Podium Shelter,cast/v4/v4_sidekick_shojo_021.webp,"Maja packs for emergencies and forgets ordinary things. In a crisis, Maja rations energy, supplies and hope with the same care.",secondary,shojo,sports,survival,martial,female,human,17–19,Polish sports / survival character design
v4_sidekick_shojo_022,Shunpei Ishibashi,Neon Voidlane Counterweight,Neon Voidlane,cast/v4/v4_sidekick_shojo_022.webp,"Shunpei spots the human mistake hiding inside a technical problem, while outside the big moments Shunpei keeps one seat empty until everyone arrives.",secondary,shojo,cyber,space,mythology,male,human,17–19,Japanese cyber / space character design
v4_sidekick_shojo_023,Ara Kim,Sigil Spotlight Spotter,Sigil Spotlight,cast/v4/v4_sidekick_shojo_023.webp,"Ara makes tea before delivering bad news; when it matters, Ara knows how to hold attention without demanding it.",secondary,shojo,fantasy,idol,shinobi,female,human,17–19,Korean fantasy / idol character design
v4_sidekick_shojo_024,Jai Iyer,Enchanted Casefile Handler,Enchanted Casefile,cast/v4/v4_sidekick_shojo_024.webp,"Jai meets wonder with curiosity instead of obedience. Away from the pressure, Jai always checks whether the quietest person agrees.",secondary,shojo,fantasy,mystery,pirate,nonbinary,human,20–29,Indian fantasy / mystery character design
v4_sidekick_shojo_025,Marley Francis,Faelight Frontline Partner,Faelight Frontline,cast/v4/v4_sidekick_shojo_025.webp,"Marley keeps one old map even after learning the route; under pressure, Marley likes plans that still make sense after people get tired.",secondary,shojo,fantasy,military,mythology,female,human,17–19,Afro-Caribbean fantasy / military character design
v4_sidekick_shojo_026,Omid Jafari,Questroad Haunting Broker,Questroad Haunting,cast/v4/v4_sidekick_shojo_026.webp,"Omid treats strange rules as invitations to learn, but Omid also writes down compliments because saying them is harder.",secondary,shojo,fantasy,supernatural,samurai,male,human,17–19,Persian fantasy / supernatural character design
v4_sidekick_shojo_027,Kalila Mercado,Spotlight Lockbox Second,Spotlight Lockbox,cast/v4/v4_sidekick_shojo_027.webp,"Kalila always returns to unfinished work before starting something flashy; alongside that, Kalila keeps loose details until they connect.",secondary,shojo,idol,mystery,cooking,female,human,17–19,Filipino idol / mystery character design
v4_sidekick_shojo_028,Alexios Drakos,Backstage Deadpan Counterweight,Backstage Deadpan,cast/v4/v4_sidekick_shojo_028.webp,Alexios protects the backstage people as fiercely as the headline act; friends also know Alexios keeps one tiny repair kit close at hand.,secondary,shojo,idol,comedy,mythology,male,human,20–29,Greek idol / comedy character design
v4_sidekick_shojo_029,Clarice Souza,Red-Thread Formation Spotter,Red Thread Formation,cast/v4/v4_sidekick_shojo_029.webp,"Clarice remembers who stayed behind to help clean up. In a crisis, Clarice likes plans that still make sense after people get tired.",secondary,shojo,mystery,military,shinobi,female,human,17–19,Brazilian mystery / military character design
v4_sidekick_shojo_030,Eshe Balde,Clue Moon-Echo Handler,Clue Moon Echo,cast/v4/v4_sidekick_shojo_030.webp,"Eshe keeps loose details until they connect, while outside the big moments Eshe would rather admit uncertainty than fake confidence.",secondary,shojo,mystery,supernatural,survival,nonbinary,human,17–19,West African mystery / supernatural character design
v4_sidekick_shojo_031,Marisol Cervantes,Mischief Command-Post Partner,Mischief Command Post,cast/v4/v4_sidekick_shojo_031.webp,"Marisol leaves notes instead of dramatic speeches; when it matters, Marisol likes plans that still make sense after people get tired.",secondary,shojo,comedy,military,survival,female,human,17–19,Mexican comedy / military character design
v4_sidekick_shojo_032,Veer Iyer,Deadpan Moonbow Broker,Deadpan Moonbow,cast/v4/v4_sidekick_shojo_032.webp,"Veer knows when a joke will help and when silence will. Away from the pressure, Veer keeps one small kindness in reserve.",secondary,shojo,comedy,magical,nordic,male,human,20–29,Indian comedy / magical character design
v4_sidekick_shojo_033,Anya Farrow,Comic Tide Second,Comic Tide,cast/v4/v4_sidekick_shojo_033.webp,"Anya keeps a tiny notebook of useful mistakes; under pressure, Anya answers pressure with a grin and a new route.",secondary,shojo,comedy,pirate,shinobi,female,human,17–19,mixed diaspora comedy / pirate character design
v4_sidekick_shojo_034,Dev Sen,Sea-Road Dojo Counterweight,Sea Road Dojo,cast/v4/v4_sidekick_shojo_034.webp,"Dev prefers clever freedom to loud rebellion, but Dev also always notices who has gone quiet.",secondary,shojo,pirate,martial,nordic,male,human,17–19,Indian pirate / martial arts character design
v4_sidekick_shojo_035,Mahnoor Rizvi,Haunted Frontline Spotter,Haunted Frontline,cast/v4/v4_sidekick_shojo_035.webp,"Mahnoor saves the best snack for whoever worked latest; alongside that, Mahnoor likes plans that still make sense after people get tired.",secondary,shojo,horror,military,space,female,human,17–19,Pakistani horror / military character design
v4_sidekick_shojo_036,Noor Mirza,Confession Training-Ground Handler,Confession Training Ground,cast/v4/v4_sidekick_shojo_036.webp,Noor hears what people mean when they cannot quite say it; friends also know Noor writes reminders on the backs of receipts.,secondary,shojo,romance,sports,idol,nonbinary,human,20–29,Pakistani romance / sports character design
v4_sidekick_shojo_037,Sade Sow,Prototype Moonbow Partner,Prototype Moonbow,cast/v4/v4_sidekick_shojo_037.webp,"Sade takes the long route when someone needs company. In a crisis, Sade treats delight as a skill worth protecting.",secondary,shojo,mecha,magical,sports,female,human,17–19,West African mecha / magical character design
v4_sidekick_shojo_038,Minh Pham,Datastream Trail Broker,Datastream Trail,cast/v4/v4_sidekick_shojo_038.webp,"Minh treats information as useful only when somebody can act on it, while outside the big moments Minh keeps one lucky coin and refuses to explain it.",secondary,shojo,cyber,survival,magical,male,human,17–19,Vietnamese cyber / survival character design
v4_mascot_shonen_001,Kettle,Gearline Guardian,Gearline Relay,cast/v4/v4_mascot_shonen_001.webp,"Kettle returns borrowed things cleaner than they arrived; when it matters, Kettle treats impossible rules as something to learn rather than fear.",pet,shonen,mecha,isekai,supernatural,male,service robot,adult-equivalent,near-future workshop fiction
v4_mascot_shonen_002,Orbi,Servo Buddy,Servo Deadpan,cast/v4/v4_mascot_shonen_002.webp,"Orbi repairs first and explains later. Away from the pressure, Orbi gets quieter as the stakes get higher.",pet,shonen,mecha,comedy,nordic,female,orbital helper drone,adult-equivalent,near-future gadget fiction
v4_mascot_shonen_003,Moro,Wayfarer Sidekick,Wayfarer Homeroom,cast/v4/v4_mascot_shonen_003.webp,"Moro keeps a spare pen for people who never do; under pressure, Moro makes space for small comforts when tension rises.",pet,shonen,isekai,slice,magical,male,spirit fox,juvenile,storybook fox-familiar fantasy
v4_mascot_shonen_004,Moppet,Second-World Familiar,Second World Touchline,cast/v4/v4_mascot_shonen_004.webp,"Moppet treats impossible rules as something to learn rather than fear, but Moppet also remembers tiny kindnesses for years.",pet,shonen,isekai,sports,mystery,female,terrier puppy,juvenile,everyday companion adventure
v4_mascot_shonen_005,Melo,Stranger-Road Helper,Stranger Road Command Post,cast/v4/v4_mascot_shonen_005.webp,"Melo carries one completely impractical good-luck charm; alongside that, Melo expects structure to serve the team rather than the reverse.",pet,shonen,isekai,military,space,male,field scout robot,adult-equivalent,near-future workshop fiction
v4_mascot_shonen_006,Moss,Portal Mascot,Portal Emberpack,cast/v4/v4_mascot_shonen_006.webp,Moss looks for the local custom before reaching for assumptions; friends also know Moss leaves one light on for anyone coming home late.,pet,shonen,isekai,survival,mythology,female,tree frog,juvenile,wetland field folklore
v4_mascot_shonen_007,Cloak,Homeroom Guardian,Homeroom Midnight,cast/v4/v4_mascot_shonen_007.webp,"Cloak packs for emergencies and forgets ordinary things. In a crisis, Cloak does not let fear turn other people into punchlines.",pet,shonen,slice,horror,romance,male,black cat,juvenile,urban occult fantasy
v4_mascot_shonen_008,Whim,Neighborhood Buddy,Neighborhood Casefile,cast/v4/v4_mascot_shonen_008.webp,"Whim notices the ordinary routine holding everyone together, while outside the big moments Whim keeps one seat empty until everyone arrives.",pet,shonen,slice,mystery,nordic,female,hooded terrier detective,juvenile,storybook neighborhood mystery
v4_mascot_shonen_009,Scruff,Corner-Shop Sidekick,Corner Shop Uproar,cast/v4/v4_mascot_shonen_009.webp,"Scruff makes tea before delivering bad news; when it matters, Scruff knows when a joke will help and when silence will.",pet,shonen,slice,comedy,cooking,male,scruffy terrier,adult animal,everyday companion adventure
v4_mascot_shonen_010,Mimi,Quiet-Day Familiar,Quiet Day Haunting,cast/v4/v4_mascot_shonen_010.webp,"Mimi makes space for small comforts when tension rises. Away from the pressure, Mimi always checks whether the quietest person agrees.",pet,shonen,slice,supernatural,martial,female,ghost rabbit spirit,juvenile,storybook wonderland
v4_mascot_shonen_011,Ripley,Everyday Helper,Everyday Keel,cast/v4/v4_mascot_shonen_011.webp,"Ripley keeps one old map even after learning the route; under pressure, Ripley treats a bad map as a starting point rather than a disaster.",pet,shonen,slice,pirate,samurai,male,otter deckhand,juvenile,harbor adventure fiction
v4_mascot_shonen_012,Latch,Confession Mascot,Confession Cipher,cast/v4/v4_mascot_shonen_012.webp,"Latch takes affection seriously without making it solemn, but Latch also writes down compliments because saying them is harder.",pet,shonen,romance,mystery,martial,female,raccoon detective,adult animal,cozy scavenger caper
v4_mascot_shonen_013,Quill,Heartline Guardian,Heartline Deckside,cast/v4/v4_mascot_shonen_013.webp,"Quill always returns to unfinished work before starting something flashy; alongside that, Quill treats a bad map as a starting point rather than a disaster.",pet,shonen,romance,pirate,shinobi,male,dove courier,adult animal,storybook courier adventure
v4_mascot_shonen_014,Yori,Rosebound Buddy,Rosebound Oracle,cast/v4/v4_mascot_shonen_014.webp,Yori hears what people mean when they cannot quite say it; friends also know Yori keeps one tiny repair kit close at hand.,pet,shonen,romance,mythology,samurai,female,fox familiar,juvenile,storybook fox-familiar fantasy
v4_mascot_shonen_015,Hush,Training-Ground Sidekick,Training Ground Station,cast/v4/v4_mascot_shonen_015.webp,"Hush remembers who stayed behind to help clean up. In a crisis, Hush treats distance as something to cross rather than admire.",pet,shonen,sports,space,magical,male,owl runner,adult animal,hearthside folklore
v4_mascot_shonen_016,Torax,Touchline Familiar,Touchline Sparring,cast/v4/v4_mascot_shonen_016.webp,"Torax would rather restart honestly than accept a hollow win, while outside the big moments Torax would rather admit uncertainty than fake confidence.",pet,shonen,sports,martial,shinobi,female,tiger cub,juvenile,martial mascot fiction
v4_mascot_shonen_017,Nori,Glitchline Helper,Glitchline Orbital,cast/v4/v4_mascot_shonen_017.webp,"Nori leaves notes instead of dramatic speeches; when it matters, Nori treats distance as something to cross rather than admire.",pet,shonen,cyber,space,mythology,male,crawler robot,adult-equivalent,near-future workshop fiction
v4_mascot_shonen_018,Rinny,Spellwood Mascot,Spellwood Casefile,cast/v4/v4_mascot_shonen_018.webp,"Rinny keeps one practical foot on the ground around impossible things. Away from the pressure, Rinny keeps one small kindness in reserve.",pet,shonen,fantasy,mystery,space,female,raccoon scout,adult animal,cozy scavenger caper
v4_mascot_shonen_019,Tuppence,Backstage Guardian,Backstage Clue,cast/v4/v4_mascot_shonen_019.webp,"Tuppence keeps a tiny notebook of useful mistakes; under pressure, Tuppence asks the useful question after everyone else has run out of clever ones.",pet,shonen,idol,mystery,supernatural,male,songbird idol,juvenile,stage-and-sky storybook
v4_mascot_shonen_020,Purl,Red-Thread Buddy,Red Thread Pantry,cast/v4/v4_mascot_shonen_020.webp,"Purl keeps loose details until they connect, but Purl also always notices who has gone quiet.",pet,shonen,mystery,cooking,military,female,owl chef,adult animal,hearthside folklore
v4_mascot_shonen_021,Kuma,Clue Sidekick,Clue Moonbow,cast/v4/v4_mascot_shonen_021.webp,"Kuma saves the best snack for whoever worked latest; alongside that, Kuma makes room for wonder without becoming careless.",pet,shonen,mystery,magical,samurai,male,red panda crystal scout,juvenile,cozy kitchen fantasy
v4_mascot_shonen_022,Mika,Formation Familiar,Formation Open Hand,cast/v4/v4_mascot_shonen_022.webp,Mika expects structure to serve the team rather than the reverse; friends also know Mika writes reminders on the backs of receipts.,pet,shonen,military,martial,mythology,female,tiger cadet,juvenile,martial mascot fiction
v4_mascot_shonen_023,Puck,Banner Helper,Banner Cold Harbor,cast/v4/v4_mascot_shonen_023.webp,"Puck takes the long route when someone needs company. In a crisis, Puck trusts shared labor more than ceremonial speeches.",pet,shonen,military,nordic,samurai,male,puffin ranger,adult animal,cold-coast seabird adventure
v4_mascot_shonen_024,Clack,Voidlane Mascot,Voidlane Freewind,cast/v4/v4_mascot_shonen_024.webp,"Clack plans for isolation without surrendering to it, while outside the big moments Clack keeps one lucky coin and refuses to explain it.",pet,shonen,space,pirate,nordic,female,red crab,adult animal,dockside comedy adventure
v4_mascot_shonen_025,Jella,Station Guardian,Station Stance,cast/v4/v4_mascot_shonen_025.webp,"Jella returns borrowed things cleaner than they arrived; when it matters, Jella values control more than the appearance of strength.",pet,shonen,space,martial,samurai,male,jellyfish spirit,ageless,invented spirit folklore
v4_mascot_shonen_026,Zuzu,Stardust Buddy,Stardust Sparring,cast/v4/v4_mascot_shonen_026.webp,"Zuzu treats delight as a skill worth protecting. Away from the pressure, Zuzu gets quieter as the stakes get higher.",pet,shonen,magical,martial,nordic,female,crystal fox,juvenile,storybook fox-familiar fantasy
v4_mascot_shonen_027,Mimlet,Charmwork Sidekick,Charmwork Relic,cast/v4/v4_mascot_shonen_027.webp,"Mimlet keeps a spare pen for people who never do; under pressure, Mimlet respects legends without flattening people into symbols.",pet,shonen,magical,mythology,shinobi,male,orb bunny sprite,adult animal,invented spirit folklore
v4_mascot_shonen_028,Noc,Prototype Familiar,Prototype Confession,cast/v4/v4_mascot_shonen_028.webp,"Noc trusts machines only after testing them under pressure, but Noc also remembers tiny kindnesses for years.",pet,shonen,mecha,romance,survival,female,mechanical owl,adult animal,hearthside folklore
v4_mascot_shonen_029,Tass,Machine-Bay Helper,Machine Bay Faelight,cast/v4/v4_mascot_shonen_029.webp,"Tass carries one completely impractical good-luck charm; alongside that, Tass treats strange rules as invitations to learn.",pet,shonen,mecha,fantasy,military,male,forest fox,juvenile,storybook fox-familiar fantasy
v4_mascot_shonen_030,Pere,Training-Ground Mascot,Training Ground Enchanted,cast/v4/v4_mascot_shonen_030.webp,Pere finds out who keeps moving when nobody is cheering; friends also know Pere leaves one light on for anyone coming home late.,pet,shonen,sports,fantasy,cooking,female,griffin cub,juvenile,high-fantasy menagerie
v4_mascot_shonen_031,Bram,Signal Guardian,Signal Lockbox,cast/v4/v4_mascot_shonen_031.webp,"Bram packs for emergencies and forgets ordinary things. In a crisis, Bram asks the useful question after everyone else has run out of clever ones.",pet,shonen,cyber,mystery,pirate,male,cyber cat,juvenile,urban occult fantasy
v4_mascot_shonen_032,Vixi,Questroad Buddy,Questroad Spotlight,cast/v4/v4_mascot_shonen_032.webp,"Vixi meets wonder with curiosity instead of obedience, while outside the big moments Vixi keeps one seat empty until everyone arrives.",pet,shonen,fantasy,idol,cooking,female,fox crooner,juvenile,storybook fox-familiar fantasy
